,Mean Inter,StDev Inter
P0,0.352344926257,0.0449609512136
P1,0.0777096242842,0.0683398289677
P2,0.5530180763,0.0395095536942
P3,0.0721702932291,0.0374451120524
P4,0.475181942582,0.0326002538684
P5,0.244999541792,0.0578159804956
P6,0.364732916833,0.0283691309348
P7,0.324390054495,0.0109810723502
P8,0.434683111234,0.0174000494722
P9,0.34137529154,0.0355114060991
S0,0.341728915334,0.0286011443221
S1,0.608955745697,0.102001291894
S2,0.481877088402,0.0749466300609
S3,0.338602379784,0.060907332393
S4,0.489418547514,0.0173674354469
S5,0.602251134975,0.0844449680213
S6,0.272609228134,0.0531847121097
S7,0.605266245536,0.0415795090143
S8,0.183292220595,0.150159023239
S9,0.528792036605,0.102504268196
