,Mean,StDev
P0,0.29737391144,0.0298974373515
P1,0.0388822526882,0.0268313034498
P2,0.493457729207,0.0494549192274
P3,0.0388822526882,0.0268313034498
P4,0.420890388546,0.0659732725211
P5,0.203639836154,0.0260854130352
P6,0.326266884466,0.0174054319755
P7,0.297727643804,0.0453592019985
P8,0.425089429076,0.0264860120498
P9,0.316133797874,0.0406529797821
S0,0.301533035982,0.0273632341747
S1,0.527284460665,0.0944934956352
S2,0.37096554608,0.0909825437489
S3,0.231371211391,0.0837453570183
S4,0.477927079931,0.0337808013601
S5,0.475647326943,0.0655440694624
S6,0.234883911481,0.0463860258004
S7,0.516945250491,0.0554936015708
S8,0.121865610537,0.123571497005
S9,0.479468697873,0.131832220257
