,Mean Intra,StDev Intra
P0,0.307016272277,0.0428296597685
P1,0.0416321159055,0.0665401908888
P2,0.480351407072,0.0323412719495
P3,0.0444170579049,0.0464376859162
P4,0.409220671116,0.0648671079461
P5,0.207751039906,0.0569114120594
P6,0.329025827987,0.00613831371938
P7,0.276723711679,0.0722881748253
P8,0.407589619327,0.04379308242
P9,0.262942800245,0.0593304174141
S0,0.311162369261,0.0305648940024
S1,0.496525951002,0.0967666585426
S2,0.37986344384,0.134414193319
S3,0.236961232801,0.119817636845
S4,0.455172016355,0.0464278855567
S5,0.464020305142,0.103329177999
S6,0.1939641045,0.0822513827489
S7,0.487471807583,0.0441822601668
S8,0.1013778061,0.147078624986
S9,0.431953420913,0.140415223889
