,Mean,StDev
P0,0.225886849516,0.0846612020485
P1,0.0584320054296,0.0602521247194
P2,0.325794031516,0.126649822378
P3,0.0779082395204,0.0486782329305
P4,0.309119751154,0.0992535243604
P5,0.109569140614,0.0689202677319
P6,0.297387707093,0.0979347298319
P7,0.181267127289,0.101335293459
P8,0.500395331906,0.206831825467
P9,0.184237356843,0.0646896023755
S0,0.153754078704,0.153131775462
S1,0.418195437206,0.158499341807
S2,0.236426528684,0.119982825503
S3,0.203170837681,0.151423098646
S4,0.304365168855,0.0913459461832
S5,0.292732508898,0.0974587478063
S6,0.156038637456,0.0963303892945
S7,0.327674493892,0.164600455887
S8,0.0935849273273,0.129460597011
S9,0.250398846518,0.160747472589
