,Delta,Theta,Alpha,Beta,Gamma,Delta stdev,Theta stdev,Alpha stdev,Beta stdev,Gamma stdev
Subject 01 P,0.18050557144,0.769087796201,0.0389677959077,0.0109290659635,0.000509770488113,0.0606754353248,0.350091011513,0.014398085981,0.00474751308556,0.00099004043567
Subject 02 P,0.737335119224,0.237965621892,0.0187583589831,0.00546637377205,0.00047452612864,0.352942528741,0.145081133354,0.00843408928142,0.00209675734691,0.000855672122796
Subject 03 P,0.874824387954,0.0910409429219,0.0258053817685,0.00798986864441,0.000339418710778,0.47813098279,0.0316934047607,0.00684644491096,0.00387082305772,0.000734390010731
Subject 04 P,0.673943305504,0.309719210016,0.0146192191774,0.00168711331108,3.11519920586e-05,0.387301334897,0.0923876115351,0.00711821103695,0.000781583618004,5.04581302117e-05
Subject 05 P,0.138017291328,0.753316099361,0.0771106077792,0.0307207916599,0.000835209872028,0.0667819287962,0.281806856444,0.031816965751,0.0201360226288,0.00207063365287
Subject 06 P,0.796924823074,0.173068788298,0.026953155248,0.00275839351868,0.000294839860869,0.369722095893,0.0654449429239,0.00917494737716,0.00128981787322,0.00064168984427
Subject 07 P,0.334273722383,0.545308867499,0.114877879066,0.00532337598955,0.000216155062532,0.202641625301,0.217590346597,0.0536152495142,0.00358647906826,0.000382558338008
Subject 08 P,0.730310084791,0.258354998251,0.0105959259836,0.00071444038136,2.45505933502e-05,0.387180243451,0.110220672639,0.00391078651452,0.000232173186863,4.01425033456e-05
Subject 09 P,0.69783573616,0.205651051564,0.0179177519283,0.0758229545899,0.00277250575808,0.295070156358,0.0892512155578,0.00471875711074,0.0496204336124,0.00730760657138
Subject 10 P,0.93209232933,0.0524183979511,0.012784710545,0.0025912566165,0.000113305557123,0.493129233615,0.0353915030173,0.00426319265363,0.00104936052582,0.000173816061048
Subject 01 S,0.78695823841,0.19081293361,0.0176283153522,0.0042849180634,0.000315594564516,0.389366547761,0.0178098520292,0.00721928471303,0.00238752146433,0.000516927769737
Subject 02 S,0.444563637534,0.266246401592,0.269185337352,0.0197632058831,0.000241417638411,0.181919424144,0.074287390515,0.123140476069,0.0142330855071,0.000589962297351
Subject 03 S,0.274141035927,0.547495116211,0.172717995134,0.0054303225239,0.000215530203525,0.102243738186,0.215442917406,0.106281959767,0.00414134178046,0.000559760784694
Subject 04 S,0.875294053823,0.0826677238672,0.0323431164273,0.00911075717502,0.000584348706988,0.344113517682,0.0461734406048,0.0119885571132,0.00351176269841,0.00103020640916
Subject 05 S,0.25920212862,0.704045918793,0.033483000407,0.00323507802939,3.38741505808e-05,0.19354524688,0.247269213553,0.0111437004703,0.00159562692405,8.27471923542e-05
Subject 06 S,0.194906282636,0.589745256821,0.192737329331,0.0212928374301,0.00131829378173,0.0958029963312,0.196280653723,0.0561551172806,0.0130525536287,0.00358804185629
Subject 07 S,0.991267734619,0.00329372765786,0.00425431521275,0.00111966725743,6.45552532017e-05,0.495445623448,0.00144440313233,0.00104839020252,0.000430351569531,0.000117924411005
Subject 08 S,0.529756744464,0.350566884506,0.0933130402711,0.0260314930931,0.000331837666267,0.164308660064,0.149563789218,0.0487250348895,0.0110132666005,0.000869530611611
Subject 09 S,0.699668465843,0.0437308727327,0.192422688782,0.0588518761616,0.00532609647977,0.289391370769,0.0156877811726,0.0763422683643,0.0382915290263,0.0138195908109
Subject 10 S,0.673838005506,0.253172988076,0.0290270362338,0.0420593557153,0.00190261446911,0.27865946892,0.0999781828646,0.00616132313679,0.0173014413166,0.00295729610297
