,Delta,Theta,Alpha,Beta,Gamma,Delta stdev,Theta stdev,Alpha stdev,Beta stdev,Gamma stdev
Subject 01 P,1.93361764153e-17,8.23864725479e-17,4.17432088204e-18,1.17074695168e-18,5.46077996974e-20,1.14210463997e-17,6.58982612191e-17,2.71017763905e-18,8.93632933052e-19,1.86357093161e-19
Subject 02 P,4.93327598441e-17,1.59215268199e-17,1.25506244672e-18,3.65737773074e-19,3.17490418313e-20,4.81344433571e-17,1.97862230447e-17,1.15024447247e-18,2.85956606331e-19,1.16696906643e-19
Subject 03 P,8.57902558278e-17,8.92799273959e-18,2.53062252738e-18,7.83531968784e-19,3.32853295259e-20,9.79442192762e-17,6.49233347602e-18,1.40248117306e-18,7.92930715621e-19,1.50438392061e-19
Subject 04 P,6.62782532084e-18,3.04590134768e-18,1.43771190015e-19,1.65917403304e-20,3.06361024843e-22,7.43396972866e-18,1.77331355606e-18,1.36628925859e-19,1.50019337222e-20,9.68507409504e-22
Subject 05 P,6.51505148908e-17,3.55599876484e-16,3.63997565234e-17,1.45016278413e-17,3.94257507019e-19,5.27700021972e-17,2.22679229274e-16,2.51412527738e-17,1.59111600626e-17,1.63618129008e-18
Subject 06 P,2.32554502792e-18,5.05040436012e-19,7.86533112771e-20,8.04940208496e-21,8.60386516549e-22,1.94844204002e-18,3.44896016539e-19,4.83521363295e-20,6.7973631981e-21,3.38171692501e-21
Subject 07 P,5.18119143797e-17,8.45220382623e-17,1.78058950967e-17,8.25115115288e-19,3.3503703231e-20,6.01495962153e-17,6.45867869876e-17,1.59144776127e-17,1.06456542416e-18,1.13553814651e-19
Subject 08 P,3.15891974441e-16,1.11750162299e-16,4.58321478739e-18,3.09027613596e-19,1.06192363608e-20,3.36010248312e-16,9.56538361889e-17,3.39393440153e-18,2.01489026077e-19,3.48372437519e-20
Subject 09 P,8.93673831148e-15,2.63364218265e-15,2.29461249713e-16,9.71016341041e-16,3.55057173819e-17,6.82050300995e-15,2.06302864331e-15,1.09073372496e-16,1.14696898184e-15,1.68914244771e-16
Subject 10 P,3.39056692521e-18,1.90676482117e-19,4.65054966746e-20,9.42592134081e-21,4.12158819822e-22,3.84941595529e-18,2.76269600562e-19,3.32789068315e-20,8.19141287032e-21,1.35682549943e-21
Subject 01 S,1.81028153885e-17,4.38937054379e-18,4.05513434964e-19,9.85682300158e-20,7.25978820754e-21,1.53712134891e-17,7.03088232218e-19,2.84999230675e-19,9.42533516274e-20,2.04070101881e-20
Subject 02 S,4.58984107448e-18,2.74882731466e-18,2.77916998538e-18,2.04042720697e-19,2.49248588802e-21,3.10021812398e-18,1.26598418801e-18,2.09852431923e-18,2.42556119869e-19,1.00539665586e-20
Subject 03 S,4.8969470524e-18,9.77983681453e-18,3.08523995434e-18,9.70011723603e-20,3.84998908057e-21,3.19669229915e-18,6.73591094377e-18,3.3229489488e-18,1.29480744861e-19,1.75011499143e-20
Subject 04 S,9.76212724908e-17,9.21990542788e-18,3.6072176752e-18,1.01611990267e-18,6.51722288131e-20,6.46999400132e-17,8.6814922513e-18,2.25407862874e-18,6.60278728536e-19,1.93698560065e-19
Subject 05 S,2.29800449866e-18,6.24184954523e-18,2.9684974415e-19,2.86811836949e-20,3.00317558491e-22,3.14060393503e-18,4.01236753482e-18,1.80825673128e-19,2.58917864288e-20,1.34271526741e-21
Subject 06 S,2.66171927756e-18,8.05380051222e-18,2.63209917118e-18,2.90783627368e-19,1.80031547719e-20,2.05996233269e-18,4.22043953516e-18,1.20745102779e-18,2.80656867219e-19,7.71503121521e-20
Subject 07 S,1.00079713944e-15,3.32539141844e-18,4.29521343881e-18,1.13043101195e-18,6.51758455196e-20,9.97398292299e-16,2.90777665479e-18,2.11054967119e-18,8.66355257215e-19,2.37397608517e-19
Subject 08 S,2.66799308838e-16,1.76554623353e-16,4.69948800276e-17,1.31101386397e-17,1.67122100722e-19,1.32290194471e-16,1.20418624032e-16,3.92300949848e-17,8.86713566879e-18,7.00087102309e-19
Subject 09 S,9.50185184119e-15,5.93887382206e-16,2.61319749131e-15,7.99238260923e-16,7.23310855258e-17,6.93787647709e-15,3.76099286189e-16,1.83023158737e-15,9.18002142901e-16,3.31311240398e-16
Subject 10 S,2.94912930943e-17,1.10804061717e-17,1.2704015301e-18,1.84077593817e-18,8.32701042323e-20,2.04992172984e-17,7.35476351685e-18,4.53249632306e-19,1.27275777313e-18,2.17549597957e-19
